Trace, Start Freq(Hz), Stop Freq(Hz)
Trace-A, 25049442790, 25050442790

RBW(Hz), VBW(Hz), SWT(ms), ATT(dB)
3000, 3000, 66, 10

Detection, Trace Points
Pos & Neg, 10001

Ref Level(dBm), PreAmp
-10.00, Off

Storage Mode-A
Off

Wave Data(dBm)-A, A(neg)
-98.369, -98.471
-98.471, -98.571
-98.588, -98.702
-98.702, -98.849
-98.849, -98.986
-98.986, -99.156
-99.156, -99.309
-99.335, -99.491
-99.491, -99.671
-99.671, -99.818
-99.818, -99.972
-99.972, -100.081
-100.098, -100.173
-100.173, -100.217
-100.209, -100.220
-100.140, -100.209
-100.027, -100.140
-99.834, -100.004
-99.579, -99.834
-99.318, -99.579
-98.973, -99.318
-98.651, -98.973
-98.254, -98.596
-97.843, -98.254
-97.487, -97.843
-97.077, -97.487
-96.730, -97.077
-96.338, -96.673
-95.960, -96.338
-95.651, -95.960
-95.309, -95.651
-95.033, -95.309
-94.730, -94.989
-94.450, -94.730
-94.227, -94.450
-93.988, -94.227
-93.797, -93.988
-93.597, -93.768
-93.417, -93.597
-93.278, -93.417
-93.134, -93.278
-93.025, -93.134
-92.917, -93.009
-92.825, -92.917
-92.758, -92.825
-92.696, -92.758
-92.655, -92.696
-92.624, -92.651
-92.604, -92.624
-92.600, -92.604
-92.600, -92.609
-92.609, -92.627
-92.630, -92.660
-92.660, -92.707
-92.707, -92.758
-92.758, -92.829
-92.829, -92.902
-92.915, -92.999
-92.999, -93.112
-93.112, -93.220
-93.220, -93.362
-93.362, -93.495
-93.518, -93.665
-93.665, -93.854
-93.854, -94.031
-94.031, -94.255
-94.255, -94.463
-94.498, -94.724
-94.724, -95.007
-95.007, -95.266
-95.266, -95.590
-95.590, -95.886
-95.937, -96.254
-96.254, -96.644
-96.644, -96.997
-96.997, -97.428
-97.428, -97.814
-97.880, -98.280
-98.280, -98.760
-98.760, -99.175
-99.175, -99.660
-99.660, -100.066
-100.131, -100.515
-100.515, -100.923
-100.923, -101.226
-101.226, -101.506
-101.506, -101.673
-101.692, -101.769
-101.755, -101.776
-101.659, -101.755
-101.457, -101.659
-101.219, -101.457
-100.883, -101.174
-100.500, -100.883
-100.146, -100.500
-99.717, -100.146
-99.342, -99.717
-98.906, -99.281
-98.473, -98.906
-98.110, -98.473
-97.698, -98.110
-97.356, -97.698
-96.972, -97.300
-96.607, -96.972
-96.306, -96.607
-95.971, -96.306
-95.701, -95.971
-95.403, -95.657
-95.124, -95.403
-94.902, -95.124
-94.660, -94.902
-94.469, -94.660
-94.267, -94.440
-94.085, -94.267
-93.947, -94.085
-93.805, -93.947
-93.702, -93.805
-93.601, -93.686
-93.523, -93.601
-93.475, -93.523
-93.441, -93.475
-93.430, -93.441
-93.430, -93.439
-93.439, -93.472
-93.472, -93.519
-93.519, -93.599
-93.599, -93.686
-93.702, -93.811
-93.811, -93.963
-93.963, -94.112
-94.112, -94.313
-94.313, -94.505
-94.540, -94.756
-94.756, -95.034
-95.034, -95.295
-95.295, -95.627
-95.627, -95.936
-95.989, -96.324
-96.324, -96.742
-96.742, -97.128
-97.128, -97.606
-97.606, -98.044
-98.119, -98.587
-98.587, -99.166
-99.166, -99.690
-99.690, -100.331
-100.331, -100.906
-101.005, -101.603
-101.603, -102.316
-102.316, -102.929
-102.929, -103.628
-103.628, -104.187
-104.273, -104.754
-104.754, -105.181
-105.181, -105.400
-105.400, -105.468
-105.348, -105.463
-105.040, -105.314
-104.589, -105.040
-104.127, -104.589
-103.540, -104.127
-103.019, -103.540
-102.414, -102.931
-101.826, -102.414
-101.344, -101.826
-100.810, -101.344
-100.381, -100.810
-99.915, -100.312
-99.484, -99.915
-99.141, -99.484
-98.774, -99.141
-98.486, -98.774
-98.181, -98.441
-97.907, -98.181
-97.696, -97.907
-97.477, -97.696
-97.313, -97.477
-97.146, -97.288
-97.009, -97.146
-96.909, -97.009
-96.820, -96.909
-96.761, -96.820
-96.717, -96.753
-96.697, -96.717
-96.697, -96.701
-96.701, -96.726
-96.726, -96.769
-96.777, -96.837
-96.837, -96.931
-96.931, -97.029
-97.029, -97.166
-97.166, -97.301
-97.325, -97.479
-97.479, -97.679
-97.679, -97.865
-97.865, -98.102
-98.102, -98.319
-98.356, -98.585
-98.585, -98.866
-98.866, -99.113
-99.113, -99.406
-99.406, -99.658
-99.700, -99.945
-99.945, -100.216
-100.216, -100.434
-100.434, -100.656
-100.656, -100.817
-100.840, -100.960
-100.960, -101.049
-101.049, -101.078
-101.055, -101.078
-100.989, -101.055
-100.861, -100.975
-100.684, -100.861
-100.500, -100.684
-100.252, -100.500
-100.021, -100.252
-99.734, -99.982
-99.435, -99.734
-99.173, -99.435
-98.866, -99.173
-98.606, -98.866
-98.305, -98.562
-98.010, -98.305
-97.764, -98.010
-97.485, -97.764
-97.252, -97.485
-96.990, -97.214
-96.736, -96.990
-96.527, -96.736
-96.290, -96.527
-96.094, -96.290
-95.874, -96.061
-95.662, -95.874
-95.487, -95.662
-95.292, -95.487
-95.133, -95.292
-94.954, -95.106
-94.787, -94.954
-94.650, -94.787
-94.500, -94.650
-94.381, -94.500
-94.252, -94.362
-94.134, -94.252
-94.043, -94.134
-93.947, -94.043
-93.876, -93.947
-93.803, -93.864
-93.742, -93.803
-93.702, -93.742
-93.665, -93.702
-93.645, -93.665
-93.631, -93.643
-93.629, -93.631
-93.631, -93.641
-93.641, -93.662
-93.662, -93.688
-93.692, -93.729
-93.729, -93.781
-93.781, -93.832
-93.832, -93.902
-93.902, -93.967
-93.979, -94.052
-94.052, -94.145
-94.145, -94.230
-94.230, -94.335
-94.335, -94.431
-94.448, -94.549
-94.549, -94.675
-94.675, -94.787
-94.787, -94.926
-94.926, -95.051
-95.072, -95.204
-95.204, -95.367
-95.367, -95.515
-95.515, -95.698
-95.698, -95.864
-95.893, -96.071
-96.071, -96.290
-96.290, -96.490
-96.490, -96.738
-96.738, -96.964
-97.003, -97.241
-97.241, -97.535
-97.535, -97.800
-97.800, -98.124
-98.124, -98.413
-98.461, -98.760
-98.760, -99.114
-99.114, -99.422
-99.422, -99.777
-99.777, -100.073
-100.121, -100.400
-100.400, -100.697
-100.697, -100.918
-100.918, -101.125
-101.125, -101.253
-101.269, -101.336
-101.336, -101.350
-101.291, -101.344
-101.165, -101.291
-101.007, -101.165
-100.776, -100.978
-100.503, -100.776
-100.247, -100.503
-99.929, -100.247
-99.647, -99.929
-99.314, -99.600
-98.981, -99.314
-98.701, -98.981
-98.380, -98.701
-98.114, -98.380
-97.813, -98.070
-97.523, -97.813
-97.286, -97.523
-97.021, -97.286
-96.802, -97.021
-96.558, -96.767
-96.327, -96.558
-96.138, -96.327
-95.928, -96.138
-95.758, -95.928
-95.569, -95.730
-95.393, -95.569
-95.251, -95.393
-95.096, -95.251
-94.974, -95.096
-94.844, -94.954
-94.728, -94.844
-94.640, -94.728
-94.552, -94.640
-94.489, -94.552
-94.432, -94.480
-94.393, -94.432
-94.374, -94.393
-94.371, -94.374
-94.372, -94.385
-94.389, -94.422
-94.422, -94.480
-94.480, -94.548
-94.548, -94.650
-94.650, -94.756
-94.776, -94.903
-94.903, -95.075
-95.075, -95.242
-95.242, -95.460
-95.460, -95.666
-95.703, -95.931
-95.931, -96.218
-96.218, -96.481
-96.481, -96.808
-96.808, -97.100
-97.150, -97.454
-97.454, -97.816
-97.816, -98.128
-98.128, -98.486
-98.486, -98.782
-98.830, -99.103
-99.103, -99.390
-99.390, -99.598
-99.598, -99.792
-99.792, -99.911
-99.925, -99.990
-99.990, -100.011
-99.980, -100.009
-99.903, -99.980
-99.806, -99.903
-99.667, -99.789
-99.511, -99.667
-99.371, -99.511
-99.206, -99.371
-99.070, -99.206
-98.923, -99.048
-98.790, -98.923
-98.692, -98.790
-98.596, -98.692
-98.531, -98.596
-98.476, -98.522
-98.446, -98.476
-98.437, -98.446
-98.437, -98.450
-98.450, -98.479
-98.486, -98.534
-98.534, -98.613
-98.613, -98.699
-98.699, -98.819
-98.819, -98.939
-98.962, -99.101
-99.101, -99.286
-99.286, -99.462
-99.462, -99.686
-99.686, -99.899
-99.935, -100.166
-100.166, -100.457
-100.457, -100.727
-100.727, -101.066
-101.066, -101.375
-101.429, -101.761
-101.761, -102.173
-102.173, -102.547
-102.547, -103.002
-103.002, -103.410
-103.479, -103.897
-103.897, -104.389
-104.389, -104.798
-104.798, -105.242
-105.242, -105.572
-105.621, -105.867
-105.867, -106.023
-106.023, -106.042
-105.870, -106.030
-105.598, -105.870
-105.144, -105.541
-104.578, -105.144
-104.035, -104.578
-103.359, -104.035
-102.768, -103.359
-102.076, -102.668
-101.399, -102.076
-100.835, -101.399
-100.203, -100.835
-99.685, -100.203
-99.109, -99.602
-98.563, -99.109
-98.119, -98.563
-97.630, -98.119
-97.233, -97.630
-96.798, -97.170
-96.389, -96.798
-96.060, -96.389
-95.700, -96.060
-95.411, -95.700
-95.097, -95.365
-94.806, -95.097
-94.576, -94.806
-94.330, -94.576
-94.135, -94.330
-93.931, -94.104
-93.748, -93.931
-93.609, -93.748
-93.468, -93.609
-93.364, -93.468
-93.264, -93.348
-93.185, -93.264
-93.134, -93.185
-93.095, -93.134
-93.078, -93.095
-93.077, -93.080
-93.080, -93.102
-93.102, -93.137
-93.137, -93.198
-93.198, -93.267
-93.279, -93.366
-93.366, -93.485
-93.485, -93.603
-93.603, -93.758
-93.758, -93.904
-93.931, -94.091
-94.091, -94.298
-94.298, -94.487
-94.487, -94.721
-94.721, -94.935
