Trace, Start Freq(Hz), Stop Freq(Hz)
Trace-A, 25049442790, 25050442790

RBW(Hz), VBW(Hz), SWT(ms), ATT(dB)
3000, 3000, 66, 10

Detection, Trace Points
Pos & Neg, 10001

Ref Level(dBm), PreAmp
-10.00, Off

Storage Mode-A
Off

Wave Data(dBm)-A, A(neg)
-96.098, -96.151
-96.151, -96.226
-96.226, -96.299
-96.311, -96.393
-96.393, -96.499
-96.499, -96.599
-96.599, -96.726
-96.726, -96.839
-96.859, -96.982
-96.982, -97.128
-97.128, -97.255
-97.255, -97.406
-97.406, -97.534
-97.555, -97.678
-97.678, -97.814
-97.814, -97.922
-97.922, -98.035
-98.035, -98.118
-98.130, -98.197
-98.197, -98.257
-98.257, -98.292
-98.292, -98.316
-98.316, -98.321
-98.316, -98.321
-98.299, -98.316
-98.279, -98.299
-98.251, -98.279
-98.229, -98.251
-98.208, -98.225
-98.195, -98.208
-98.194, -98.195
-98.194, -98.208
-98.208, -98.233
-98.239, -98.280
-98.280, -98.348
-98.348, -98.423
-98.423, -98.529
-98.529, -98.637
-98.655, -98.777
-98.777, -98.930
-98.930, -99.068
-99.068, -99.231
-99.231, -99.365
-99.387, -99.509
-99.509, -99.626
-99.626, -99.700
-99.700, -99.744
-99.740, -99.748
-99.683, -99.734
-99.566, -99.683
-99.424, -99.566
-99.211, -99.424
-98.996, -99.211
-98.716, -98.957
-98.416, -98.716
-98.148, -98.416
-97.836, -98.148
-97.573, -97.836
-97.278, -97.530
-97.001, -97.278
-96.779, -97.001
-96.543, -96.779
-96.362, -96.543
-96.178, -96.334
-96.023, -96.178
-95.915, -96.023
-95.815, -95.915
-95.755, -95.815
-95.712, -95.747
-95.700, -95.712
-95.700, -95.713
-95.713, -95.755
-95.755, -95.814
-95.825, -95.907
-95.907, -96.027
-96.027, -96.148
-96.148, -96.310
-96.310, -96.465
-96.492, -96.661
-96.661, -96.871
-96.871, -97.061
-97.061, -97.287
-97.287, -97.481
-97.513, -97.704
-97.704, -97.918
-97.918, -98.089
-98.089, -98.266
-98.266, -98.396
-98.416, -98.518
-98.518, -98.603
-98.603, -98.645
-98.645, -98.658
-98.637, -98.657
-98.579, -98.631
-98.492, -98.579
-98.394, -98.492
-98.261, -98.394
-98.134, -98.261
-97.977, -98.112
-97.814, -97.977
-97.675, -97.814
-97.517, -97.675
-97.388, -97.517
-97.247, -97.367
-97.121, -97.247
-97.027, -97.121
-96.933, -97.027
-96.869, -96.933
-96.814, -96.859
-96.782, -96.814
-96.777, -96.782
-96.777, -96.792
-96.792, -96.828
-96.834, -96.893
-96.893, -96.988
-96.988, -97.094
-97.094, -97.245
-97.245, -97.402
-97.430, -97.614
-97.614, -97.863
-97.863, -98.102
-98.102, -98.417
-98.417, -98.716
-98.769, -99.101
-99.101, -99.524
-99.524, -99.917
-99.917, -100.410
-100.410, -100.860
-100.937, -101.410
-101.410, -101.978
-101.978, -102.468
-102.468, -103.023
-103.023, -103.459
-103.528, -103.892
-103.892, -104.202
-104.202, -104.341
-104.338, -104.362
-104.193, -104.338
-103.879, -104.157
-103.443, -103.879
-103.004, -103.443
-102.450, -103.004
-101.961, -102.450
-101.390, -101.878
-100.838, -101.390
-100.384, -100.838
-99.885, -100.384
-99.482, -99.885
-99.046, -99.419
-98.645, -99.046
-98.328, -98.645
-97.992, -98.328
-97.729, -97.992
-97.452, -97.688
-97.206, -97.452
-97.021, -97.206
-96.830, -97.021
-96.686, -96.830
-96.545, -96.665
-96.430, -96.545
-96.352, -96.430
-96.282, -96.352
-96.240, -96.282
-96.213, -96.235
-96.207, -96.213
-96.207, -96.219
-96.219, -96.254
-96.254, -96.297
-96.306, -96.366
-96.366, -96.454
-96.454, -96.541
-96.541, -96.659
-96.659, -96.773
-96.792, -96.915
-96.915, -97.073
-97.073, -97.216
-97.216, -97.392
-97.392, -97.549
-97.576, -97.738
-97.738, -97.931
-97.931, -98.096
-98.096, -98.290
-98.290, -98.451
-98.479, -98.634
-98.634, -98.808
-98.808, -98.947
-98.947, -99.094
-99.094, -99.207
-99.224, -99.321
-99.321, -99.412
-99.412, -99.471
-99.471, -99.518
-99.518, -99.539
-99.540, -99.544
-99.522, -99.542
-99.489, -99.522
-99.435, -99.489
-99.372, -99.435
-99.288, -99.362
-99.192, -99.288
-99.103, -99.192
-98.991, -99.103
-98.891, -98.991
-98.773, -98.876
-98.652, -98.773
-98.548, -98.652
-98.429, -98.548
-98.327, -98.429
-98.213, -98.310
-98.102, -98.213
-98.009, -98.102
-97.907, -98.009
-97.823, -97.907
-97.731, -97.809
-97.644, -97.731
-97.576, -97.644
-97.501, -97.576
-97.444, -97.501
-97.383, -97.435
-97.332, -97.383
-97.294, -97.332
-97.259, -97.294
-97.238, -97.259
-97.224, -97.235
-97.220, -97.224
-97.220, -97.228
-97.228, -97.251
-97.251, -97.280
-97.287, -97.329
-97.329, -97.393
-97.393, -97.460
-97.460, -97.553
-97.553, -97.644
-97.661, -97.766
-97.766, -97.901
