Trace, Start Freq(Hz), Stop Freq(Hz)
Trace-A, 25049442790, 25050442790

RBW(Hz), VBW(Hz), SWT(ms), ATT(dB)
3000, 3000, 66, 10

Detection, Trace Points
Pos & Neg, 10001

Ref Level(dBm), PreAmp
-10.00, Off

Storage Mode-A
Off

Wave Data(dBm)-A, A(neg)
-96.389, -96.678
-96.678, -97.042
-97.042, -97.373
-97.430, -97.787
-97.787, -98.222
-98.222, -98.612
-98.612, -99.079
-99.079, -99.485
-99.553, -99.956
-99.956, -100.410
-100.410, -100.772
-100.772, -101.146
-101.146, -101.406
-101.443, -101.616
-101.616, -101.708
-101.683, -101.711
-101.531, -101.683
-101.300, -101.531
-100.932, -101.254
-100.480, -100.932
-100.044, -100.480
-99.498, -100.044
-99.012, -99.498
-98.438, -98.931
-97.869, -98.438
-97.390, -97.869
-96.847, -97.390
-96.398, -96.847
-95.897, -96.325
-95.421, -95.897
-95.034, -95.421
-94.608, -95.034
-94.265, -94.608
-93.888, -94.209
-93.540, -93.888
-93.264, -93.540
-92.965, -93.264
-92.732, -92.965
-92.482, -92.693
-92.259, -92.482
-92.089, -92.259
-91.913, -92.089
-91.783, -91.913
-91.655, -91.763
-91.553, -91.655
-91.485, -91.553
-91.430, -91.485
-91.401, -91.430
-91.392, -91.399
-91.394, -91.411
-91.411, -91.445
-91.445, -91.509
-91.509, -91.585
-91.601, -91.699
-91.699, -91.839
-91.839, -91.980
-91.980, -92.170
-92.170, -92.356
-92.389, -92.600
-92.600, -92.872
-92.872, -93.129
-93.129, -93.457
-93.457, -93.764
-93.819, -94.152
-94.152, -94.571
-94.571, -94.956
-94.956, -95.436
-95.436, -95.872
-95.947, -96.405
-96.405, -96.964
-96.964, -97.453
-97.453, -98.030
-98.030, -98.515
-98.594, -99.051
-99.051, -99.527
-99.527, -99.859
-99.859, -100.131
-100.131, -100.244
-100.227, -100.256
-100.056, -100.227
-99.804, -100.056
-99.415, -99.804
-99.025, -99.415
-98.531, -98.955
-98.021, -98.531
-97.583, -98.021
-97.086, -97.583
-96.676, -97.086
-96.223, -96.610
-95.798, -96.223
-95.457, -95.798
-95.090, -95.457
-94.800, -95.090
-94.489, -94.754
-94.207, -94.489
-93.988, -94.207
-93.758, -93.988
-93.582, -93.758
-93.401, -93.554
-93.243, -93.401
-93.127, -93.243
-93.011, -93.127
-92.930, -93.011
-92.853, -92.917
-92.798, -92.853
-92.765, -92.798
-92.744, -92.765
-92.741, -92.744
-92.742, -92.753
-92.753, -92.783
-92.783, -92.822
-92.822, -92.882
-92.882, -92.946
-92.957, -93.034
-93.034, -93.137
-93.137, -93.238
-93.238, -93.369
-93.369, -93.492
-93.514, -93.648
-93.648, -93.817
-93.817, -93.971
-93.971, -94.162
-94.162, -94.333
-94.363, -94.542
-94.542, -94.760
-94.760, -94.951
-94.951, -95.179
-95.179, -95.377
-95.411, -95.611
-95.611, -95.845
-95.845, -96.043
-96.043, -96.271
-96.271, -96.463
-96.494, -96.678
-96.678, -96.883
-96.883, -97.052
-97.052, -97.234
-97.234, -97.382
-97.406, -97.541
-97.541, -97.686
-97.686, -97.799
-97.799, -97.919
-97.919, -98.014
-98.028, -98.115
-98.115, -98.206
-98.206, -98.281
-98.281, -98.363
-98.363, -98.433
-98.444, -98.513
-98.513, -98.597
-98.597, -98.672
-98.672, -98.766
-98.766, -98.854
-98.868, -98.965
-98.965, -99.088
-99.088, -99.204
-99.204, -99.353
-99.353, -99.493
-99.518, -99.673
-99.673, -99.871
-99.871, -100.058
-100.058, -100.291
-100.291, -100.509
-100.547, -100.783
-100.783, -101.078
-101.078, -101.348
-101.348, -101.683
-101.683, -101.986
-102.038, -102.359
-102.359, -102.748
-102.748, -103.093
-103.093, -103.506
-103.506, -103.864
-103.922, -104.276
-104.276, -104.678
-104.678, -105.004
-105.004, -105.349
-105.349, -105.608
-105.647, -105.853
-105.853, -106.025
-106.025, -106.115
-106.115, -106.146
-106.112, -106.144
-106.013, -106.102
-105.859, -106.013
-105.692, -105.859
-105.470, -105.692
-105.264, -105.470
-105.012, -105.228
-104.757, -105.012
-104.536, -104.757
-104.282, -104.536
-104.066, -104.282
-103.816, -104.030
-103.570, -103.816
-103.358, -103.570
-103.108, -103.358
-102.891, -103.108
-102.630, -102.854
-102.363, -102.630
-102.126, -102.363
-101.840, -102.126
-101.588, -101.840
-101.287, -101.545
-100.980, -101.287
-100.714, -100.980
-100.403, -100.714
-100.140, -100.403
-99.836, -100.096
-99.540, -99.836
-99.295, -99.540
-99.022, -99.295
-98.802, -99.022
-98.560, -98.766
-98.338, -98.560
-98.166, -98.338
-97.984, -98.166
-97.849, -97.984
-97.712, -97.828
-97.600, -97.712
-97.525, -97.600
-97.461, -97.525
-97.426, -97.461
-97.409, -97.422
-97.409, -97.417
-97.417, -97.443
-97.443, -97.495
-97.495, -97.558
-97.571, -97.650
-97.650, -97.761
-97.761, -97.869
-97.869, -98.008
-98.008, -98.134
-98.155, -98.287
-98.287, -98.441
-98.441, -98.571
-98.571, -98.713
-98.713, -98.824
-98.841, -98.936
-98.936, -99.025
-99.025, -99.079
-99.079, -99.114
-99.114, -99.119
-99.096, -99.118
-99.043, -99.096
-98.975, -99.043
-98.876, -98.975
-98.773, -98.876
-98.640, -98.756
-98.496, -98.640
-98.369, -98.496
-98.216, -98.369
-98.086, -98.216
-97.938, -98.065
-97.794, -97.938
-97.678, -97.794
-97.550, -97.678
-97.449, -97.550
-97.338, -97.432
-97.240, -97.338
-97.163, -97.240
-97.086, -97.163
-97.025, -97.086
-96.964, -97.015
-96.911, -96.964
-96.875, -96.911
-96.839, -96.875
-96.814, -96.839
-96.792, -96.810
-96.777, -96.792
-96.769, -96.777
-96.765, -96.769
-96.765, -96.769
-96.769, -96.777
-96.777, -96.792
-96.792, -96.812
-96.812, -96.839
-96.839, -96.871
-96.877, -96.915
-96.915, -96.968
-96.968, -97.021
-97.021, -97.094
-97.094, -97.166
-97.178, -97.260
-97.260, -97.370
-97.370, -97.475
-97.475, -97.611
-97.611, -97.742
-97.765, -97.909
