Trace, Start Freq(Hz), Stop Freq(Hz)
Trace-A, 25049442790, 25050442790

RBW(Hz), VBW(Hz), SWT(ms), ATT(dB)
3000, 3000, 66, 10

Detection, Trace Points
Pos & Neg, 10001

Ref Level(dBm), PreAmp
-10.00, Off

Storage Mode-A
Off

Wave Data(dBm)-A, A(neg)
-102.303, -102.430
-102.430, -102.608
-102.608, -102.783
-102.783, -103.004
-103.004, -103.203
-103.236, -103.431
-103.431, -103.639
-103.639, -103.782
-103.782, -103.887
-103.887, -103.909
-103.830, -103.902
-103.637, -103.830
-103.382, -103.637
-102.990, -103.382
-102.591, -102.990
-102.073, -102.519
-101.523, -102.073
-101.042, -101.523
-100.485, -101.042
-100.021, -100.485
-99.504, -99.945
-99.017, -99.504
-98.630, -99.017
-98.213, -98.630
-97.889, -98.213
-97.549, -97.838
-97.251, -97.549
-97.029, -97.251
-96.808, -97.029
-96.652, -96.808
-96.508, -96.629
-96.407, -96.508
-96.352, -96.407
-96.325, -96.352
-96.325, -96.336
-96.339, -96.385
-96.385, -96.475
-96.475, -96.586
-96.586, -96.753
-96.753, -96.929
-96.960, -97.170
-97.170, -97.453
-97.453, -97.728
-97.728, -98.083
-98.083, -98.419
-98.477, -98.841
-98.841, -99.293
-99.293, -99.698
-99.698, -100.186
-100.186, -100.607
-100.677, -101.088
-101.088, -101.539
-101.539, -101.887
-101.887, -102.226
-102.226, -102.447
-102.475, -102.610
-102.610, -102.666
-102.638, -102.666
-102.526, -102.638
-102.377, -102.526
-102.160, -102.349
-101.917, -102.160
-101.700, -101.917
-101.450, -101.700
-101.243, -101.450
-101.018, -101.211
-100.812, -101.018
-100.650, -100.812
-100.480, -100.650
-100.347, -100.480
-100.203, -100.325
-100.068, -100.203
-99.956, -100.068
-99.822, -99.956
-99.702, -99.822
-99.548, -99.681
-99.378, -99.548
-99.216, -99.378
-99.006, -99.216
-98.808, -99.006
-98.557, -98.774
-98.285, -98.557
-98.039, -98.285
-97.739, -98.039
-97.476, -97.739
-97.165, -97.432
-96.853, -97.165
-96.590, -96.853
-96.289, -96.590
-96.038, -96.289
-95.759, -95.997
-95.498, -95.759
-95.287, -95.498
-95.059, -95.287
-94.880, -95.059
-94.692, -94.853
-94.525, -94.692
-94.400, -94.525
-94.276, -94.400
-94.187, -94.276
-94.104, -94.174
-94.045, -94.104
-94.010, -94.045
-93.992, -94.010
-93.990, -93.992
-93.994, -94.012
-94.012, -94.052
-94.052, -94.100
-94.100, -94.176
-94.176, -94.256
-94.270, -94.365
-94.365, -94.491
-94.491, -94.613
-94.613, -94.769
-94.769, -94.916
-94.941, -95.101
-95.101, -95.300
-95.300, -95.483
-95.483, -95.707
-95.707, -95.910
-95.945, -96.158
-96.158, -96.418
-96.418, -96.648
-96.648, -96.925
-96.925, -97.169
-97.211, -97.460
-97.460, -97.755
-97.755, -98.009
-98.009, -98.305
-98.305, -98.556
-98.597, -98.843
-98.843, -99.119
-99.119, -99.344
-99.344, -99.590
-99.590, -99.783
-99.814, -99.984
-99.984, -100.156
-100.156, -100.278
-100.278, -100.390
-100.390, -100.459
-100.468, -100.508
-100.508, -100.526
-100.519, -100.526
-100.488, -100.519
-100.444, -100.488
-100.377, -100.436
-100.299, -100.377
-100.225, -100.299
-100.136, -100.225
-100.058, -100.136
-99.972, -100.046
-99.889, -99.972
-99.826, -99.889
-99.761, -99.826
-99.715, -99.761
-99.673, -99.707
-99.645, -99.673
-99.632, -99.645
-99.628, -99.632
-99.630, -99.641
-99.643, -99.667
-99.667, -99.711
-99.711, -99.761
-99.761, -99.834
-99.834, -99.909
-99.923, -100.013
-100.013, -100.133
-100.133, -100.249
-100.249, -100.402
-100.402, -100.547
-100.573, -100.733
-100.733, -100.939
-100.939, -101.130
-101.130, -101.373
-101.373, -101.597
-101.635, -101.875
-101.875, -102.175
-102.175, -102.445
-102.445, -102.779
-102.779, -103.078
-103.131, -103.442
-103.442, -103.818
-103.818, -104.148
-104.148, -104.536
-104.536, -104.867
-104.922, -105.249
-105.249, -105.615
-105.615, -105.912
-105.912, -106.231
-106.231, -106.476
-106.514, -106.723
-106.723, -106.922
-106.922, -107.054
-107.054, -107.161
-107.161, -107.214
-107.220, -107.233
-107.212, -107.233
-107.163, -107.212
-107.076, -107.163
-106.978, -107.076
-106.841, -106.960
-106.679, -106.841
-106.522, -106.679
-106.318, -106.522
-106.127, -106.318
-105.882, -106.094
-105.617, -105.882
-105.372, -105.617
-105.069, -105.372
-104.794, -105.069
-104.458, -104.748
-104.110, -104.458
-103.803, -104.110
-103.438, -103.803
-103.122, -103.438
-102.752, -103.068
-102.388, -102.752
-102.078, -102.388
-101.726, -102.078
-101.431, -101.726
-101.101, -101.383
-100.785, -101.101
-100.526, -100.785
-100.241, -100.526
-100.011, -100.241
-99.759, -99.974
-99.527, -99.759
-99.342, -99.527
-99.145, -99.342
-98.988, -99.145
-98.824, -98.963
-98.675, -98.824
-98.560, -98.675
-98.441, -98.560
-98.349, -98.441
-98.254, -98.335
-98.171, -98.254
-98.107, -98.171
-98.043, -98.107
-97.993, -98.043
-97.945, -97.986
-97.901, -97.945
-97.871, -97.901
-97.843, -97.871
-97.823, -97.843
-97.807, -97.820
-97.798, -97.807
-97.797, -97.798
-97.798, -97.805
-97.805, -97.820
-97.824, -97.848
-97.848, -97.888
-97.888, -97.932
-97.932, -97.996
-97.996, -98.062
-98.074, -98.152
-98.152, -98.258
-98.258, -98.359
-98.359, -98.490
-98.490, -98.613
-98.634, -98.765
-98.765, -98.925
-98.925, -99.065
-99.065, -99.228
-99.228, -99.360
-99.381, -99.504
-99.504, -99.626
-99.626, -99.706
-99.706, -99.765
-99.765, -99.781
-99.752, -99.781
-99.669, -99.752
-99.553, -99.669
-99.371, -99.553
-99.175, -99.371
-98.907, -99.140
-98.606, -98.907
-98.327, -98.606
-97.986, -98.327
-97.685, -97.986
-97.330, -97.633
-96.976, -97.330
-96.680, -96.976
-96.341, -96.680
-96.063, -96.341
-95.750, -96.017
-95.456, -95.750
-95.217, -95.456
-94.955, -95.217
-94.746, -94.955
-94.520, -94.712
-94.314, -94.520
-94.152, -94.314
-93.981, -94.152
-93.852, -93.981
-93.717, -93.830
-93.603, -93.717
-93.519, -93.603
-93.439, -93.519
-93.385, -93.439
-93.339, -93.376
-93.311, -93.339
-93.302, -93.311
-93.302, -93.309
-93.309, -93.328
-93.334, -93.369
-93.369, -93.426
-93.426, -93.492
-93.492, -93.584
-93.584, -93.677
-93.694, -93.803
-93.803, -93.949
-93.949, -94.087
-94.087, -94.266
-94.266, -94.434
-94.463, -94.646
-94.646, -94.875
-94.875, -95.085
-95.085, -95.346
-95.346, -95.583
-95.623, -95.870
-95.870, -96.172
-96.172, -96.439
-96.439, -96.759
-96.759, -97.038
-97.084, -97.363
-97.363, -97.690
-97.690, -97.964
-97.964, -98.273
-98.273, -98.524
-98.565, -98.796
-98.796, -99.040
-99.040, -99.221
-99.221, -99.395
-99.395, -99.511
-99.527, -99.603
-99.603, -99.652
-99.652, -99.662
-99.633, -99.660
-99.581, -99.633
-99.495, -99.572
-99.387, -99.495
-99.281, -99.387
-99.150, -99.281
-99.033, -99.150
-98.901, -99.015
-98.774, -98.901
-98.673, -98.774
-98.571, -98.673
-98.495, -98.571
-98.426, -98.483
-98.379, -98.426
-98.358, -98.379
-98.354, -98.358
-98.356, -98.377
-98.383, -98.429
-98.429, -98.511
-98.511, -98.605
-98.605, -98.743
-98.743, -98.888
-98.915, -99.089
-99.089, -99.325
-99.325, -99.555
-99.555, -99.857
-99.857, -100.146
-100.196, -100.517
-100.517, -100.928
-100.928, -101.312
-101.312, -101.796
-101.796, -102.243
-102.321, -102.801
-102.801, -103.397
-103.397, -103.936
-103.936, -104.593
-104.593, -105.174
-105.271, -105.863
-105.863, -106.545
-106.545, -107.112
-107.112, -107.724
-107.724, -108.187
-108.257, -108.629
-108.629, -108.946
-108.946, -109.114
-109.114, -109.192
-109.177, -109.194
-109.085, -109.167
-108.942, -109.085
-108.798, -108.942
-108.627, -108.798
-108.484, -108.627
-108.330, -108.460
-108.192, -108.330
-108.087, -108.192
-107.972, -108.087
-107.874, -107.972
-107.748, -107.856
-107.599, -107.748
-107.441, -107.599
-107.210, -107.441
-106.964, -107.210
-106.618, -106.919
-106.208, -106.618
-105.810, -106.208
-105.295, -105.810
-104.823, -105.295
-104.242, -104.741
-103.644, -104.242
-103.124, -103.644
-102.519, -103.124
-102.006, -102.519
-101.419, -101.921
-100.850, -101.419
-100.379, -100.850
-99.851, -100.379
-99.419, -99.851
-98.938, -99.348
-98.483, -98.938
-98.116, -98.483
-97.714, -98.116
-97.391, -97.714
-97.042, -97.340
-96.719, -97.042
-96.466, -96.719
-96.196, -96.466
-95.986, -96.196
-95.769, -95.953
-95.578, -95.769
-95.437, -95.578
-95.298, -95.437
-95.200, -95.298
-95.112, -95.185
-95.051, -95.112
-95.020, -95.051
-95.009, -95.020
-95.009, -95.021
-95.025, -95.060
-95.060, -95.126
-95.126, -95.204
-95.204, -95.318
-95.318, -95.439
-95.460, -95.602
-95.602, -95.790
-95.790, -95.973
-95.973, -96.207
-96.207, -96.427
-96.466, -96.705
-96.705, -97.003
-97.003, -97.272
-97.272, -97.604
-97.604, -97.899
-97.950, -98.255
-98.255, -98.619
-98.619, -98.935
-98.935, -99.302
-99.302, -99.615
-99.667, -99.972
-99.972, -100.315
